Time_ms	Alt_m	Alt_ft	Lat	Lon	GndSpd_ms	Heading_deg	Bearing_deg	Phase	MotorPos	PID_P	PID_I	LoiterStep
1004587	-0.97	-3.2	42.7038492	-77.1917598	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004637	-0.95	-3.1	42.7038492	-77.1917598	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004687	-0.98	-3.2	42.7038492	-77.1917598	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004737	-0.93	-3.1	42.7038492	-77.1917598	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004787	-0.85	-2.8	42.7038492	-77.1917597	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004837	-0.82	-2.7	42.7038492	-77.1917597	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004887	-0.78	-2.5	42.7038492	-77.1917597	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004937	-0.81	-2.7	42.7038492	-77.1917597	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1004987	-0.74	-2.4	42.7038492	-77.1917596	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005037	-0.81	-2.7	42.7038492	-77.1917596	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005087	-0.82	-2.7	42.7038492	-77.1917596	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005137	-0.84	-2.8	42.7038492	-77.1917596	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005187	-0.81	-2.7	42.7038492	-77.1917596	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005237	-0.92	-3.0	42.7038491	-77.1917597	0.062	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005287	-0.90	-2.9	42.7038491	-77.1917596	0.041	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005337	-0.99	-3.3	42.7038491	-77.1917596	0.041	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005387	-0.81	-2.7	42.7038491	-77.1917595	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005437	-0.77	-2.5	42.7038491	-77.1917595	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005487	-0.80	-2.6	42.7038491	-77.1917595	0.005	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005537	-0.86	-2.8	42.7038491	-77.1917595	0.005	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005587	-0.95	-3.1	42.7038491	-77.1917595	0.012	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005637	-0.97	-3.2	42.7038491	-77.1917595	0.029	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005687	-0.96	-3.1	42.7038491	-77.1917595	0.003	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005738	-1.03	-3.4	42.7038491	-77.1917595	0.003	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005788	-0.90	-2.9	42.7038491	-77.1917595	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005838	-0.84	-2.8	42.7038491	-77.1917595	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005888	-0.81	-2.7	42.7038490	-77.1917595	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005938	-0.78	-2.6	42.7038490	-77.1917595	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1005988	-0.77	-2.5	42.7038490	-77.1917595	0.041	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006038	-0.77	-2.5	42.7038490	-77.1917595	0.041	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006088	-0.80	-2.6	42.7038490	-77.1917595	0.064	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006138	-0.94	-3.1	42.7038490	-77.1917595	0.064	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006188	-0.94	-3.1	42.7038490	-77.1917595	0.064	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006238	-0.90	-3.0	42.7038490	-77.1917595	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006288	-0.96	-3.2	42.7038490	-77.1917595	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006338	-0.88	-2.9	42.7038490	-77.1917595	0.017	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006388	-0.79	-2.6	42.7038490	-77.1917595	0.017	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006438	-0.79	-2.6	42.7038490	-77.1917595	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006488	-0.79	-2.6	42.7038490	-77.1917595	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006538	-0.81	-2.6	42.7038490	-77.1917594	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006588	-0.80	-2.6	42.7038490	-77.1917594	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006638	-0.83	-2.7	42.7038489	-77.1917594	0.023	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006688	-0.73	-2.4	42.7038489	-77.1917594	0.023	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006738	-0.77	-2.5	42.7038490	-77.1917594	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006788	-0.81	-2.6	42.7038490	-77.1917594	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006838	-0.77	-2.5	42.7038490	-77.1917593	0.025	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006888	-0.80	-2.6	42.7038490	-77.1917593	0.025	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006938	-0.85	-2.8	42.7038489	-77.1917593	0.008	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1006988	-0.87	-2.8	42.7038489	-77.1917593	0.008	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007038	-0.79	-2.6	42.7038489	-77.1917592	0.047	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007088	-0.88	-2.9	42.7038489	-77.1917592	0.047	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007138	-0.82	-2.7	42.7038489	-77.1917593	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007188	-0.82	-2.7	42.7038489	-77.1917593	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007238	-0.89	-2.9	42.7038489	-77.1917593	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007288	-0.82	-2.7	42.7038489	-77.1917592	0.024	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
